County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),Value (Percent),People (Education: At Least Bachelor's Degree),Rank within US
"Morgan County, Utah",49029,Urban,37.6,2608,"302 of 3143"
"Carroll County, New Hampshire",33003,Rural,37.5,15014,"303 of 3143"
"Roanoke County, Virginia",51161,Urban,37.5,26232,"304 of 3143"
"Litchfield County, Connecticut",09005,Rural,37.5,51048,"305 of 3143"
"Wood County, Ohio",39173,Urban,37.5,30906,"306 of 3143"
"New Haven County, Connecticut",09009,Urban,37.5,225668,"307 of 3143"
"Columbia County, Georgia",13073,Urban,37.4,39223,"308 of 3143"
"Essex County, New Jersey",34013,Urban,37.4,214364,"309 of 3143"
"Kent County, Maryland",24029,Rural,37.4,5214,"310 of 3143"
"Orange County, Florida",12095,Urban,37.4,360821,"311 of 3143"
"Burleigh County, North Dakota",38015,Urban,37.3,24735,"312 of 3143"
"Ontario County, New York",36069,Urban,37.2,29794,"313 of 3143"
"Transylvania County, North Carolina",37175,Rural,37.1,9464,"314 of 3143"
"Pulaski County, Arkansas",05119,Urban,37.0,100335,"315 of 3143"
"Anchorage Borough, Alaska",02020,Urban,37.0,71274,"316 of 3143"
"Whatcom County, Washington",53073,Urban,37.0,56451,"317 of 3143"
"Onondaga County, New York",36067,Urban,36.9,119853,"318 of 3143"
"York County, South Carolina",45091,Urban,36.9,70625,"319 of 3143"
"Merrimack County, New Hampshire",33013,Rural,36.8,40799,"320 of 3143"
"Wilson County, Tennessee",47189,Urban,36.7,37664,"321 of 3143"
"Grand Forks County, North Dakota",38035,Urban,36.7,15845,"322 of 3143"
"Lawrence County, South Dakota",46081,Rural,36.7,6736,"323 of 3143"
"Clay County, Minnesota",27027,Urban,36.7,14626,"324 of 3143"
"Honolulu County, Hawaii",15003,Urban,36.6,258880,"325 of 3143"
"Bernalillo County, New Mexico",35001,Urban,36.6,172006,"326 of 3143"
"Hancock County, Maine",23009,Rural,36.6,15513,"327 of 3143"
"Lincoln Parish, Louisiana",22061,Rural,36.6,9618,"328 of 3143"
"Queen Annes County, Maryland",24035,Urban,36.6,13190,"329 of 3143"
"Ottawa County, Michigan",26139,Urban,36.5,68141,"330 of 3143"
"Cabarrus County, North Carolina",37025,Urban,36.5,54828,"331 of 3143"
"Custer County, Colorado",08027,Rural,36.5,1381,"332 of 3143"
"Kenton County, Kentucky",21117,Urban,36.5,42128,"333 of 3143"
"Beaverhead County, Montana",30001,Rural,36.4,2377,"334 of 3143"
"Thurston County, Washington",53067,Urban,36.4,75946,"335 of 3143"
"Valley County, Idaho",16085,Rural,36.4,3379,"336 of 3143"
"Montour County, Pennsylvania",42093,Rural,36.4,4837,"337 of 3143"
"Columbia County, New York",36021,Rural,36.4,17216,"338 of 3143"
"St. Tammany Parish, Louisiana",22103,Urban,36.4,66513,"339 of 3143"
"Erie County, New York",36029,Urban,36.4,244270,"340 of 3143"
"Park County, Montana",30067,Rural,36.3,4900,"341 of 3143"
"Kane County, Illinois",17089,Urban,36.3,124274,"342 of 3143"
"Monroe County, Florida",12087,Rural,36.3,23342,"343 of 3143"
"Hillsborough County, Florida",12057,Urban,36.2,366052,"344 of 3143"
"Meagher County, Montana",30059,Rural,36.2,540,"345 of 3143"
"Jefferson County, Kentucky",21111,Urban,36.1,195231,"346 of 3143"
"Will County, Illinois",17197,Urban,36.1,167365,"347 of 3143"
"Chatham County, Georgia",13051,Urban,36.1,73013,"348 of 3143"
"Kittitas County, Washington",53037,Rural,36.1,10206,"349 of 3143"
"Dawes County, Nebraska",31045,Rural,36.0,1866,"350 of 3143"
"Medina County, Ohio",39103,Urban,35.9,46189,"351 of 3143"
"Cape May County, New Jersey",34009,Urban,35.9,26003,"352 of 3143"
"La Crosse County, Wisconsin",55063,Urban,35.8,27960,"353 of 3143"
"Cole County, Missouri",29051,Urban,35.8,19107,"354 of 3143"
