County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),Value (Percent),People (Education: At Least Bachelor's Degree),Rank within US
"Bartholomew County, Indiana",18005,Urban,34.8,19517,"406 of 3143"
"Queens County, New York",36081,Urban,34.8,594463,"407 of 3143"
"Ventura County, California",06111,Urban,34.7,199937,"408 of 3143"
"Marquette County, Michigan",26103,Rural,34.7,15354,"409 of 3143"
"Boone County, Kentucky",21015,Urban,34.6,31168,"410 of 3143"
"Lafayette Parish, Louisiana",22055,Urban,34.6,57012,"411 of 3143"
"Linn County, Iowa",19113,Urban,34.6,53918,"412 of 3143"
"Los Angeles County, California",06037,Urban,34.6,2389559,"413 of 3143"
"Summit County, Ohio",39153,Urban,34.6,131993,"414 of 3143"
"Sangamon County, Illinois",17167,Urban,34.6,47286,"415 of 3143"
"Lake County, South Dakota",46079,Rural,34.5,2673,"416 of 3143"
"Manassas City, Virginia",51683,Urban,34.5,9563,"417 of 3143"
"Clarke County, Virginia",51043,Urban,34.5,3761,"418 of 3143"
"Warrick County, Indiana",18173,Urban,34.5,15264,"419 of 3143"
"Taos County, New Mexico",35055,Rural,34.5,9120,"420 of 3143"
"Washington County, Arkansas",05143,Urban,34.5,52115,"421 of 3143"
"Cheshire County, New Hampshire",33005,Rural,34.4,18749,"422 of 3143"
"Washington County, Nebraska",31177,Urban,34.3,4893,"423 of 3143"
"Adair County, Missouri",29001,Rural,34.3,4756,"424 of 3143"
"Athens County, Ohio",39009,Rural,34.3,12379,"425 of 3143"
"Yellowstone County, Montana",30111,Urban,34.3,38889,"426 of 3143"
"Camden County, New Jersey",34007,Urban,34.3,123519,"427 of 3143"
"Schenectady County, New York",36093,Urban,34.2,37556,"428 of 3143"
"Oklahoma County, Oklahoma",40109,Urban,34.2,177573,"429 of 3143"
"Sitka Borough, Alaska",02220,Rural,34.2,2076,"430 of 3143"
"Minnehaha County, South Dakota",46099,Urban,34.2,44673,"431 of 3143"
"Coweta County, Georgia",13077,Urban,34.1,34252,"432 of 3143"
"DeKalb County, Illinois",17037,Urban,34.1,20381,"433 of 3143"
"Bremer County, Iowa",19017,Urban,34.0,5616,"434 of 3143"
"Kalawao County, Hawaii",15005,Urban,34.0,17,"435 of 3143"
"Henderson County, North Carolina",37089,Urban,34.0,29603,"436 of 3143"
"Washington County, Wisconsin",55131,Urban,33.9,33041,"437 of 3143"
"Tarrant County, Texas",48439,Urban,33.9,462935,"438 of 3143"
"Bryan County, Georgia",13029,Urban,33.9,9558,"439 of 3143"
"Dallas County, Texas",48113,Urban,33.9,569789,"440 of 3143"
"Jones County, South Dakota",46075,Rural,33.9,227,"441 of 3143"
"Warren County, New York",36113,Urban,33.8,16678,"442 of 3143"
"Rappahannock County, Virginia",51157,Urban,33.8,1883,"443 of 3143"
"Galveston County, Texas",48167,Urban,33.8,80042,"444 of 3143"
"Shelby County, Tennessee",47157,Urban,33.8,206377,"445 of 3143"
"Northumberland County, Virginia",51133,Rural,33.7,3139,"446 of 3143"
"Peoria County, Illinois",17143,Urban,33.7,41068,"447 of 3143"
"Otsego County, New York",36077,Rural,33.7,13260,"448 of 3143"
"Garfield County, Colorado",08045,Rural,33.7,13915,"449 of 3143"
"Sumter County, Florida",12119,Urban,33.7,39993,"450 of 3143"
"Montgomery County, Alabama",01101,Urban,33.7,51002,"451 of 3143"
"Haines Borough, Alaska",02100,Rural,33.7,478,"452 of 3143"
"Cape Girardeau County, Missouri",29031,Urban,33.6,17753,"453 of 3143"
"New Kent County, Virginia",51127,Urban,33.6,5863,"454 of 3143"
"Philadelphia County, Pennsylvania",42101,Urban,33.6,366310,"455 of 3143"
"Portage County, Wisconsin",55097,Rural,33.6,15396,"456 of 3143"
"Lamar County, Mississippi",28073,Urban,33.6,14556,"457 of 3143"
"Kent County, Rhode Island",44003,Urban,33.6,42491,"458 of 3143"
"Bayfield County, Wisconsin",55007,Rural,33.6,4211,"459 of 3143"
"Staunton City, Virginia",51790,Urban,33.6,6161,"460 of 3143"
"Greene County, Georgia",13133,Rural,33.4,4731,"461 of 3143"
"Rutherford County, Tennessee",47149,Urban,33.4,72765,"462 of 3143"
"Pennington County, South Dakota",46103,Urban,33.4,25468,"463 of 3143"
"Washington County, Tennessee",47179,Urban,33.4,30453,"464 of 3143"
"Madison County, Kentucky",21151,Rural,33.3,19297,"465 of 3143"
"Polk County, North Carolina",37149,Rural,33.3,5107,"466 of 3143"
"Spotsylvania County, Virginia",51177,Urban,33.3,31461,"467 of 3143"
"Dauphin County, Pennsylvania",42043,Urban,33.3,66041,"468 of 3143"
"Okaloosa County, Florida",12091,Urban,33.3,48582,"469 of 3143"
"Jefferson County, Montana",30043,Urban,33.3,2990,"470 of 3143"
"Waldo County, Maine",23027,Rural,33.3,9876,"471 of 3143"
"Tulsa County, Oklahoma",40143,Urban,33.2,146153,"472 of 3143"
"Marion County, Indiana",18097,Urban,33.2,212206,"473 of 3143"
"York County, Maine",23031,Urban,33.2,52509,"474 of 3143"
"Ohio County, West Virginia",54069,Urban,33.2,9899,"475 of 3143"
"Harris County, Texas",48201,Urban,33.2,1005849,"476 of 3143"
"Walton County, Florida",12131,Urban,33.1,18704,"477 of 3143"
"Pitt County, North Carolina",37147,Urban,33.1,34916,"478 of 3143"
"Wright County, Minnesota",27171,Urban,33.1,30704,"479 of 3143"
"Milwaukee County, Wisconsin",55079,Urban,33.1,205336,"480 of 3143"
"Rutland County, Vermont",50021,Rural,33.0,14814,"481 of 3143"
"Charlevoix County, Michigan",26029,Rural,33.0,6452,"482 of 3143"
"Lane County, Oregon",41039,Urban,33.0,87304,"483 of 3143"
"Jackson County, Missouri",29095,Urban,33.0,160765,"484 of 3143"
"Fairbanks North Star, Alaska",02090,Urban,32.9,20212,"485 of 3143"
"Ocean County, New Jersey",34029,Urban,32.9,143133,"486 of 3143"
"Warren County, Kentucky",21227,Urban,32.9,27280,"487 of 3143"
"Brevard County, Florida",12009,Urban,32.9,149873,"488 of 3143"
"Northampton County, Pennsylvania",42095,Urban,32.8,72290,"489 of 3143"
"Manatee County, Florida",12081,Urban,32.8,100646,"490 of 3143"
"Hancock County, Indiana",18059,Urban,32.8,18222,"491 of 3143"
"Brown County, South Dakota",46013,Rural,32.8,8325,"492 of 3143"
"Washington County, Utah",49053,Urban,32.8,39490,"493 of 3143"
"Park County, Wyoming",56029,Rural,32.8,7045,"494 of 3143"
"Powhatan County, Virginia",51145,Urban,32.8,7526,"495 of 3143"
"Rankin County, Mississippi",28121,Urban,32.7,35649,"496 of 3143"
"Indian River County, Florida",12061,Urban,32.7,41214,"497 of 3143"
"Randall County, Texas",48381,Urban,32.7,30498,"498 of 3143"
"Dickinson County, Iowa",19059,Rural,32.7,4308,"499 of 3143"
"Iredell County, North Carolina",37097,Urban,32.7,42624,"500 of 3143"
"Wayne County, Nebraska",31179,Rural,32.7,1789,"501 of 3143"
"Lee County, Georgia",13177,Urban,32.6,6942,"502 of 3143"
"Lubbock County, Texas",48303,Urban,32.6,60346,"503 of 3143"
"Sacramento County, California",06067,Urban,32.6,351404,"504 of 3143"
"Lexington County, South Carolina",45063,Urban,32.6,66935,"505 of 3143"
"Baldwin County, Alabama",01003,Urban,32.6,54385,"506 of 3143"
"Bedford City and County, Virginia",51917,Urban,32.6,18915,"507 of 3143"
"Miami-Dade County, Florida",12086,Urban,32.5,624330,"508 of 3143"
"Salem City, Virginia",51775,Urban,32.5,5630,"509 of 3143"
"Faulkner County, Arkansas",05045,Urban,32.5,25063,"510 of 3143"
"Washoe County, Nevada",32031,Urban,32.5,110157,"511 of 3143"
"Antrim County, Michigan",26009,Rural,32.5,5843,"512 of 3143"
"Benzie County, Michigan",26019,Urban,32.4,4473,"513 of 3143"
"Johnson County, Indiana",18081,Urban,32.4,35101,"514 of 3143"
"Harris County, Georgia",13145,Urban,32.4,7960,"515 of 3143"
"Shackelford County, Texas",48417,Rural,32.4,696,"516 of 3143"
"Brunswick County, North Carolina",37019,Urban,32.4,36229,"517 of 3143"
"Washington County, Pennsylvania",42125,Urban,32.4,48994,"518 of 3143"
"Greene County, Missouri",29077,Urban,32.4,63685,"519 of 3143"
"Kane County, Utah",49025,Rural,32.4,1816,"520 of 3143"
"Erath County, Texas",48143,Rural,32.4,8159,"521 of 3143"
"Lehigh County, Pennsylvania",42077,Urban,32.4,82539,"522 of 3143"
"Benton County, Washington",53005,Urban,32.3,43642,"523 of 3143"
"Lancaster County, Virginia",51103,Rural,32.3,2823,"524 of 3143"
"Winchester City, Virginia",51840,Urban,32.3,6065,"525 of 3143"
"Clinton County, Michigan",26037,Urban,32.2,17785,"526 of 3143"
"Duval County, Florida",12031,Urban,32.2,220273,"527 of 3143"
"Madison County, North Carolina",37115,Urban,32.2,5029,"528 of 3143"
"Clark County, Washington",53011,Urban,32.2,111187,"529 of 3143"
"Jefferson County, West Virginia",54037,Urban,32.2,12988,"530 of 3143"
"Norfolk City, Virginia",51710,Urban,32.2,48995,"531 of 3143"
"Treasure County, Montana",30103,Rural,32.2,173,"532 of 3143"
"Warren County, Iowa",19181,Urban,32.2,11219,"533 of 3143"
"Sandoval County, New Mexico",35043,Urban,32.1,33407,"534 of 3143"
"Sheridan County, Wyoming",56033,Rural,32.1,7083,"535 of 3143"
"Woods County, Oklahoma",40151,Rural,32.1,1723,"536 of 3143"
"Worcester County, Maryland",24047,Rural,32.1,12918,"537 of 3143"
"Suffolk City, Virginia",51800,Urban,32.1,20740,"538 of 3143"
"Canadian County, Oklahoma",40017,Urban,32.0,33289,"539 of 3143"
"Dubuque County, Iowa",19061,Urban,32.0,21231,"540 of 3143"
"Lumpkin County, Georgia",13187,Urban,32.0,6645,"541 of 3143"
"Butler County, Kansas",20015,Urban,32.0,14258,"542 of 3143"
"Houston County, Georgia",13153,Urban,32.0,34499,"543 of 3143"
"Nassau County, Florida",12089,Urban,32.0,21711,"544 of 3143"
"Towns County, Georgia",13281,Rural,32.0,3056,"545 of 3143"
"Wallowa County, Oregon",41063,Rural,32.0,1793,"546 of 3143"
"St. Joseph County, Indiana",18141,Urban,32.0,56763,"547 of 3143"
"Belknap County, New Hampshire",33001,Rural,31.9,15327,"548 of 3143"
"Lake County, Montana",30047,Rural,31.9,7048,"549 of 3143"
"Spokane County, Washington",53063,Urban,31.9,118634,"550 of 3143"
"Butler County, Ohio",39017,Urban,31.9,79859,"551 of 3143"
"Scott County, Kentucky",21209,Urban,31.9,12046,"552 of 3143"
"Bonneville County, Idaho",16019,Urban,31.9,24215,"553 of 3143"
"Christian County, Missouri",29043,Urban,31.9,19312,"554 of 3143"
"Garfield County, Nebraska",31071,Rural,31.9,429,"555 of 3143"
"Carteret County, North Carolina",37031,Rural,31.9,16625,"556 of 3143"
"Johnson County, Wyoming",56019,Rural,31.8,2016,"557 of 3143"
"Llano County, Texas",48299,Rural,31.8,5434,"558 of 3143"
"Winona County, Minnesota",27169,Rural,31.8,9863,"559 of 3143"
"Shawnee County, Kansas",20177,Urban,31.7,38547,"560 of 3143"
"Sedgwick County, Kansas",20173,Urban,31.7,108173,"561 of 3143"
"Brown County, Wisconsin",55009,Urban,31.7,57283,"562 of 3143"
"Portage County, Ohio",39133,Urban,31.7,33722,"563 of 3143"
"Marion County, Iowa",19125,Rural,31.7,7058,"564 of 3143"
"Grand County, Utah",49019,Rural,31.7,2211,"565 of 3143"
"Cimarron County, Oklahoma",40025,Rural,31.7,495,"566 of 3143"
"Mono County, California",06051,Rural,31.7,3053,"567 of 3143"
"Calumet County, Wisconsin",55015,Urban,31.7,11544,"568 of 3143"
"Sussex County, Delaware",10005,Rural,31.7,57735,"569 of 3143"
"St. Louis County, Minnesota",27137,Urban,31.7,43556,"570 of 3143"
"Hood County, Texas",48221,Rural,31.7,14371,"571 of 3143"
"Madison County, Montana",30057,Rural,31.6,2199,"572 of 3143"
"Orange County, New York",36071,Urban,31.6,80915,"573 of 3143"
"Franklin County, Kentucky",21073,Rural,31.6,11395,"574 of 3143"
"Phelps County, Missouri",29161,Rural,31.6,8858,"575 of 3143"
"Outagamie County, Wisconsin",55087,Urban,31.6,41054,"576 of 3143"
"Calloway County, Kentucky",21035,Rural,31.5,7335,"577 of 3143"
"Caledonia County, Vermont",50005,Rural,31.5,6927,"578 of 3143"
"Granite County, Montana",30039,Rural,31.5,812,"579 of 3143"
"Anoka County, Minnesota",27003,Urban,31.5,78339,"580 of 3143"
"Beltrami County, Minnesota",27007,Rural,31.4,9035,"581 of 3143"
"Arthur County, Nebraska",31005,Rural,31.4,99,"582 of 3143"
"Brazoria County, Texas",48039,Urban,31.4,77028,"583 of 3143"
"Carbon County, Montana",30009,Urban,31.4,2578,"584 of 3143"
"McPherson County, Kansas",20113,Rural,31.4,6295,"585 of 3143"
"Storey County, Nevada",32029,Urban,31.4,976,"586 of 3143"
"Douglas County, Nevada",32005,Rural,31.3,12170,"587 of 3143"
"Hinds County, Mississippi",28049,Urban,31.3,46270,"588 of 3143"
"Floyd County, Indiana",18043,Urban,31.3,17355,"589 of 3143"
"Rio Grande County, Colorado",08105,Rural,31.3,2531,"590 of 3143"
"Cass County, Nebraska",31025,Urban,31.3,5772,"591 of 3143"
"Sioux County, Iowa",19167,Rural,31.3,6677,"592 of 3143"
"Sumner County, Tennessee",47165,Urban,31.2,42408,"593 of 3143"
"Westmoreland County, Pennsylvania",42129,Urban,31.2,82216,"594 of 3143"
"Providence County, Rhode Island",44007,Urban,31.2,141926,"595 of 3143"
"McDonough County, Illinois",17109,Rural,31.2,5212,"596 of 3143"
"Essex County, New York",36031,Rural,31.2,9020,"597 of 3143"
"Fairfield County, Ohio",39045,Urban,31.1,33565,"598 of 3143"
"Humboldt County, California",06023,Rural,31.1,29098,"599 of 3143"
"Charles County, Maryland",24017,Urban,31.1,34977,"600 of 3143"
"Custer County, Oklahoma",40039,Rural,31.1,5173,"601 of 3143"
"Pierce County, Wisconsin",55093,Urban,31.0,8329,"602 of 3143"
"Polk County, Oregon",41053,Urban,31.0,17750,"603 of 3143"
"Georgetown County, South Carolina",45043,Rural,31.0,14884,"604 of 3143"
"Seward County, Nebraska",31159,Urban,31.0,3436,"605 of 3143"
"Crawford County, Kansas",20037,Rural,30.9,7189,"606 of 3143"
"Parker County, Texas",48367,Urban,30.9,31513,"607 of 3143"
"Kearney County, Nebraska",31099,Rural,30.9,1376,"608 of 3143"
"Tuscaloosa County, Alabama",01125,Urban,30.9,43832,"609 of 3143"
"Butte County, California",06007,Urban,30.8,42854,"610 of 3143"
"Piatt County, Illinois",17147,Urban,30.8,3650,"611 of 3143"
"Clallam County, Washington",53009,Rural,30.8,18452,"612 of 3143"
"Walworth County, Wisconsin",55127,Rural,30.8,21725,"613 of 3143"
"Klickitat County, Washington",53039,Rural,30.8,5271,"614 of 3143"
"Logan County, Oklahoma",40083,Urban,30.7,10253,"615 of 3143"
"Washington County, Oklahoma",40147,Rural,30.7,10969,"616 of 3143"
"Franklin County, Texas",48159,Rural,30.7,2251,"617 of 3143"
"Hawaii County, Hawaii",15001,Rural,30.7,44478,"618 of 3143"
"Harvey County, Kansas",20079,Urban,30.7,7015,"619 of 3143"
"Weld County, Colorado",08123,Urban,30.7,66084,"620 of 3143"
"Isabella County, Michigan",26073,Rural,30.7,11055,"621 of 3143"
"Highland County, Virginia",51091,Rural,30.7,526,"622 of 3143"
"Traill County, North Dakota",38097,Rural,30.6,1664,"623 of 3143"
"King County, Texas",48269,Rural,30.6,49,"624 of 3143"
"Blanco County, Texas",48031,Rural,30.6,2710,"625 of 3143"
"Glynn County, Georgia",13127,Urban,30.6,18419,"626 of 3143"
"Harding County, New Mexico",35021,Rural,30.6,144,"627 of 3143"
"Valdez-Cordova Census Area, Alaska",02261,Rural,30.6,2054,"628 of 3143"
"Miami County, Kansas",20121,Urban,30.6,7146,"629 of 3143"
"Hodgeman County, Kansas",20083,Rural,30.5,373,"630 of 3143"
"Mills County, Iowa",19129,Urban,30.5,3077,"631 of 3143"
"Winneshiek County, Iowa",19191,Rural,30.5,4101,"632 of 3143"
"Lancaster County, Pennsylvania",42071,Urban,30.5,114403,"633 of 3143"
"Custer County, South Dakota",46033,Urban,30.5,2117,"634 of 3143"
"Laramie County, Wyoming",56021,Urban,30.5,20858,"635 of 3143"
"Allen County, Indiana",18003,Urban,30.5,76762,"636 of 3143"
"Nemaha County, Nebraska",31127,Rural,30.5,1404,"637 of 3143"
"Nelson County, Virginia",51125,Urban,30.4,3383,"638 of 3143"
"Bexar County, Texas",48029,Urban,30.4,394997,"639 of 3143"
"Dona Ana County, New Mexico",35013,Urban,30.4,40866,"640 of 3143"
"Banner County, Nebraska",31007,Rural,30.4,155,"641 of 3143"
"St. Clair County, Illinois",17163,Urban,30.4,53238,"642 of 3143"
"Iron County, Utah",49021,Rural,30.4,9891,"643 of 3143"
"Kauai County, Hawaii",15007,Rural,30.4,16001,"644 of 3143"
"Montgomery County, Tennessee",47125,Urban,30.4,41892,"645 of 3143"
"Garfield County, Utah",49017,Rural,30.3,1136,"646 of 3143"
"Jessamine County, Kentucky",21113,Urban,30.3,10807,"647 of 3143"
"Dodge County, Minnesota",27039,Urban,30.3,4211,"648 of 3143"
"Cabell County, West Virginia",54011,Urban,30.3,19016,"649 of 3143"
"Eaton County, Michigan",26045,Urban,30.3,23459,"650 of 3143"
"Shelby County, Kentucky",21211,Urban,30.2,10129,"651 of 3143"
"Clermont County, Ohio",39025,Urban,30.2,43833,"652 of 3143"
"Rockbridge County, Virginia",51163,Rural,30.2,5137,"653 of 3143"
"Sullivan County, New Hampshire",33019,Rural,30.1,9843,"654 of 3143"
"Maui County, Hawaii",15009,Urban,30.1,35607,"655 of 3143"
"Lee County, Florida",12071,Urban,30.1,175717,"656 of 3143"
"Passaic County, New Jersey",34031,Urban,30.1,104229,"657 of 3143"
"Atlantic County, New Jersey",34001,Urban,30.1,57631,"658 of 3143"
"Lancaster County, South Carolina",45057,Urban,30.1,21156,"659 of 3143"
"Berrien County, Michigan",26021,Urban,30.1,32497,"660 of 3143"
"Montezuma County, Colorado",08083,Rural,30.1,5634,"661 of 3143"
"Mesa County, Colorado",08077,Urban,30.0,32875,"662 of 3143"
"Chattahoochee County, Georgia",13053,Urban,30.0,1335,"663 of 3143"
"Jackson County, Oregon",41029,Urban,30.0,47994,"664 of 3143"
"Steele County, North Dakota",38091,Rural,30.0,382,"665 of 3143"
"Black Hawk County, Iowa",19013,Urban,30.0,24863,"666 of 3143"
"Montgomery County, Ohio",39113,Urban,30.0,110293,"667 of 3143"
"Rice County, Minnesota",27131,Rural,30.0,12887,"668 of 3143"
"Lake County, Ohio",39085,Urban,29.9,50412,"669 of 3143"
"Porter County, Indiana",18127,Urban,29.9,35934,"670 of 3143"
"Lackawanna County, Pennsylvania",42069,Urban,29.9,45442,"671 of 3143"
"Santa Rosa County, Florida",12113,Urban,29.9,39828,"672 of 3143"
"Morgan County, Georgia",13211,Urban,29.9,4293,"673 of 3143"
"Walla Walla County, Washington",53071,Urban,29.9,12232,"674 of 3143"
"Kennebec County, Maine",23011,Rural,29.9,26888,"675 of 3143"
"Douglas County, Georgia",13097,Urban,29.9,28041,"676 of 3143"
"Broome County, New York",36007,Urban,29.8,39139,"677 of 3143"
"Jackson County, North Carolina",37099,Rural,29.8,8233,"678 of 3143"
"Mathews County, Virginia",51115,Urban,29.8,1929,"679 of 3143"
"Penobscot County, Maine",23019,Urban,29.8,32769,"680 of 3143"
"Isle of Wight County, Virginia",51093,Urban,29.8,8306,"681 of 3143"
"Jefferson Parish, Louisiana",22051,Urban,29.8,91290,"682 of 3143"
"Kerr County, Texas",48265,Rural,29.8,11457,"683 of 3143"
"Bristol County, Massachusetts",25005,Urban,29.7,120890,"684 of 3143"
"Bulloch County, Georgia",13031,Rural,29.6,13344,"685 of 3143"
"Aiken County, South Carolina",45003,Urban,29.6,35568,"686 of 3143"
"Hubbard County, Minnesota",27057,Rural,29.6,4632,"687 of 3143"
"Middlesex County, Virginia",51119,Rural,29.6,2480,"688 of 3143"
"Hansford County, Texas",48195,Rural,29.6,969,"689 of 3143"
"Erie County, Pennsylvania",42049,Urban,29.6,55198,"690 of 3143"
"Autauga County, Alabama",01001,Urban,29.6,11879,"691 of 3143"
"Licking County, Ohio",39089,Urban,29.5,35872,"692 of 3143"
"Guadalupe County, Texas",48187,Urban,29.5,34141,"693 of 3143"
"Putnam County, West Virginia",54079,Urban,29.5,11980,"694 of 3143"
"Chelan County, Washington",53007,Urban,29.5,16076,"695 of 3143"
"Limestone County, Alabama",01083,Urban,29.5,21577,"696 of 3143"
