County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),Value (Dollars),Rank within US
"Genesee County, Michigan",26049,Urban,58594.000000000,"1797 of 3142"
"Greenup County, Kentucky",21089,Urban,58562.000000000,"1798 of 3142"
"Lavaca County, Texas",48285,Rural,58530.000000000,"1799 of 3142"
"McPherson County, South Dakota",46089,Rural,58529.000000000,"1800 of 3142"
"Rice County, Kansas",20159,Rural,58523.000000000,"1801 of 3142"
"Atchison County, Missouri",29005,Rural,58521.000000000,"1802 of 3142"
"Blaine County, Montana",30005,Rural,58507.000000000,"1803 of 3142"
"Washington County, Tennessee",47179,Urban,58507.000000000,"1803 of 3142"
"Washburn County, Wisconsin",55129,Rural,58504.000000000,"1805 of 3142"
"McCracken County, Kentucky",21145,Urban,58490.000000000,"1806 of 3142"
"Mason County, Illinois",17125,Rural,58479.000000000,"1807 of 3142"
"Phillips County, Colorado",08095,Rural,58474.000000000,"1808 of 3142"
"Davidson County, North Carolina",37057,Urban,58473.000000000,"1809 of 3142"
"Owyhee County, Idaho",16073,Urban,58440.000000000,"1810 of 3142"
"Linn County, Missouri",29115,Rural,58435.000000000,"1811 of 3142"
"Hill County, Montana",30041,Rural,58427.000000000,"1812 of 3142"
"Cochise County, Arizona",04003,Urban,58421.000000000,"1813 of 3142"
"Van Buren County, Iowa",19177,Rural,58417.000000000,"1814 of 3142"
"Gilliam County, Oregon",41021,Rural,58409.000000000,"1815 of 3142"
"Chippewa County, Michigan",26033,Rural,58408.000000000,"1816 of 3142"
"Henry County, Alabama",01067,Urban,58395.000000000,"1817 of 3142"
"Stone County, Missouri",29209,Rural,58392.000000000,"1818 of 3142"
"Jefferson County, Illinois",17081,Rural,58384.000000000,"1819 of 3142"
"Swift County, Minnesota",27151,Rural,58362.000000000,"1820 of 3142"
"Baltimore City, Maryland",24510,Urban,58349.000000000,"1821 of 3142"
"Red Willow County, Nebraska",31145,Rural,58344.000000000,"1822 of 3142"
"St. Lawrence County, New York",36089,Rural,58339.000000000,"1823 of 3142"
"Delaware County, New York",36025,Rural,58338.000000000,"1824 of 3142"
"Bedford County, Pennsylvania",42009,Rural,58337.000000000,"1825 of 3142"
"Boyd County, Kentucky",21019,Urban,58327.000000000,"1826 of 3142"
"Pulaski County, Arkansas",05119,Urban,58326.000000000,"1827 of 3142"
"Fergus County, Montana",30027,Rural,58321.000000000,"1828 of 3142"
"Broome County, New York",36007,Urban,58317.000000000,"1829 of 3142"
"Buchanan County, Missouri",29021,Urban,58303.000000000,"1830 of 3142"
"Henry County, Kentucky",21103,Urban,58294.000000000,"1831 of 3142"
"Clark County, Kansas",20025,Rural,58287.000000000,"1832 of 3142"
"Marshall County, Alabama",01095,Rural,58272.000000000,"1833 of 3142"
"Pottawatomie County, Oklahoma",40125,Rural,58270.000000000,"1834 of 3142"
"Caldwell County, Missouri",29025,Urban,58269.000000000,"1835 of 3142"
"Page County, Iowa",19145,Rural,58264.000000000,"1836 of 3142"
"Garrard County, Kentucky",21079,Rural,58263.000000000,"1837 of 3142"
