
	Screening and Risk Factors Report for United States by County
(2017-2019 County Level Modeled Estimates Combining BRFSS & NHIS)

Had Colonoscopy in Past 10 Years
"All Races (includes Hispanic), Both Sexes, Ages 50-75"

Sorted by Percent

County,FIPS,"Model-Based Percent(3)","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Ohio County, West Virginia",54069,68.7 ,56.9, 80.1
"Onondaga County, New York",36067,68.7 ,60.0, 77.1
"Roane County, Tennessee",47145,68.7 ,55.5, 81.1
"Teton County, Wyoming",56039,68.7 ,57.4, 79.7
"Cumberland County, Maine",23005,68.6 ,59.5, 77.7
"Floyd County, Virginia",51063,68.6 ,55.8, 80.5
"Kennebec County, Maine",23011,68.6 ,59.6, 77.3
"Lauderdale County, Alabama",01077,68.6 ,56.7, 79.8
"Loudon County, Tennessee",47105,68.6 ,63.1, 73.9
"Outagamie County, Wisconsin",55087,68.6 ,57.2, 79.5
"Shawnee County, Kansas",20177,68.6 ,58.6, 78.7
"Tuscaloosa County, Alabama",01125,68.6 ,59.4, 77.6
"San Luis Obispo County, California",06079,68.5 ,58.5, 77.9
"Sussex County, Delaware",10005,68.5 ,60.9, 76.2
"Washington County, Nebraska",31177,68.5 ,57.2, 79.5
"Alcona County, Michigan",26001,68.4 ,56.8, 79.4
"Autauga County, Alabama",01001,68.4 ,56.3, 80.1
"Benton County, Oregon",41003,68.4 ,56.8, 79.5
"Currituck County, North Carolina",37053,68.4 ,55.5, 80.6
"Jefferson County, Alabama",01073,68.4 ,60.3, 76.2
"Mineral County, West Virginia",54057,68.4 ,56.1, 80.1
"Seminole County, Florida",12117,68.4 ,57.6, 78.8
"Des Moines County, Iowa",19057,68.3 ,56.7, 79.4
"Grand Forks County, North Dakota",38035,68.3 ,57.8, 78.8
"Grundy County, Iowa",19075,68.3 ,55.2, 80.4
"Oxford County, Maine",23017,68.3 ,58.2, 78.3
"Cherokee County, Oklahoma",40021,68.2 ,56.3, 79.5
"Clark County, Illinois",17023,68.2 ,52.7, 82.4
"Clay County, Georgia",13061,68.2 ,55.3, 80.6
"Cross County, Arkansas",05037,68.2 ,55.5, 80.2
"Custer County, Idaho",16037,68.2 ,55.1, 80.6
"Ellis County, Kansas",20051,68.2 ,56.3, 79.5
"Grady County, Georgia",13131,68.2 ,55.8, 80.0
"Hot Spring County, Arkansas",05059,68.2 ,56.1, 79.9
"O'Brien County, Iowa",19141,68.2 ,55.3, 80.4
"Pierce County, Wisconsin",55093,68.2 ,55.4, 80.0
"Pope County, Arkansas",05115,68.2 ,55.8, 80.0
"Roberts County, South Dakota",46109,68.2 ,54.8, 80.6
"Rockingham County, Virginia",51165,68.2 ,57.2, 79.0
"Shelby County, Alabama",01117,68.2 ,57.7, 78.5
"Yamhill County, Oregon",41071,68.2 ,58.1, 77.9
"Baldwin County, Alabama",01003,68.1 ,57.7, 78.5
"Brunswick County, North Carolina",37019,68.1 ,55.6, 80.2
"Burleigh County, North Dakota",38015,68.1 ,58.1, 78.3
"Dearborn County, Indiana",18029,68.1 ,55.3, 80.1
"Gove County, Kansas",20063,68.1 ,54.2, 80.8
"Kanawha County, West Virginia",54039,68.1 ,58.1, 78.1
"Manatee County, Florida",12081,68.1 ,59.5, 76.5
"Miller County, Missouri",29131,68.1 ,55.0, 80.5
"Oneida County, Wisconsin",55085,68.1 ,56.1, 79.4
"Osage County, Missouri",29151,68.1 ,52.8, 81.9
"Piscataquis County, Maine",23021,68.1 ,57.7, 78.3
"Vermillion County, Indiana",18165,68.1 ,56.4, 78.9
"Brookings County, South Dakota",46011,68.0 ,57.9, 78.3
"Cass County, North Dakota",38017,68.0 ,58.0, 78.1
"Dukes County, Massachusetts",25007,68.0 ,54.7, 80.2
"Maury County, Tennessee",47119,68.0 ,55.6, 79.8
"Rice County, Minnesota",27131,68.0 ,57.2, 78.8
"Barnstable County, Massachusetts",25001,67.9 ,59.2, 76.6
"Calhoun County, Iowa",19025,67.9 ,54.4, 80.6
"Codington County, South Dakota",46029,67.9 ,57.6, 78.0
"Jefferson County, Colorado",08059,67.9 ,60.9, 74.9
"Limestone County, Alabama",01083,67.9 ,54.6, 80.2
"Madison County, Georgia",13195,67.9 ,55.1, 80.1
"North Slope Borough, Alaska",02185,67.9 ,54.3, 80.7
"Pocahontas County, Iowa",19151,67.9 ,54.8, 80.3
"Polk County, Missouri",29167,67.9 ,54.1, 80.6
"Rutherford County, Tennessee",47149,67.9 ,56.0, 79.3
"Shawano County, Wisconsin",55115,67.9 ,54.5, 80.3
"Tuscola County, Michigan",26157,67.9 ,55.5, 79.9
"Valencia County, New Mexico",35061,67.9 ,58.5, 77.0
"Virginia Beach City, Virginia",51810,67.9 ,60.0, 75.5
"Beltrami County, Minnesota",27007,67.8 ,56.9, 78.6
"Bremer County, Iowa",19017,67.8 ,55.1, 79.9
"Broward County, Florida",12011,67.8 ,61.5, 73.8
"Charles County, Maryland",24017,67.8 ,58.2, 77.5
"Essex County, Massachusetts",25009,67.8 ,60.2, 75.3
"Fairfield County, Ohio",39045,67.8 ,56.7, 78.3
"Jackson County, Wisconsin",55053,67.8 ,54.3, 80.4
"Montgomery County, Tennessee",47125,67.8 ,55.7, 79.4
"Pender County, North Carolina",37141,67.8 ,55.2, 79.7
"Pulaski County, Arkansas",05119,67.8 ,59.4, 76.2
"Sheboygan County, Wisconsin",55117,67.8 ,55.8, 79.2
"Sweet Grass County, Montana",30097,67.8 ,54.1, 80.6
"Wake County, North Carolina",37183,67.8 ,58.7, 77.0
"Alger County, Michigan",26003,67.7 ,53.5, 81.1
"Grand Isle County, Vermont",50013,67.7 ,56.3, 79.0
"Grant County, Nebraska",31075,67.7 ,52.9, 81.4
"Howard County, Nebraska",31093,67.7 ,55.4, 79.4
"La Crosse County, Wisconsin",55063,67.7 ,54.9, 79.5
"Madison County, Mississippi",28089,67.7 ,55.5, 79.4
"Minnehaha County, South Dakota",46099,67.7 ,57.3, 78.1
"Sagadahoc County, Maine",23023,67.7 ,56.4, 78.6
"St. Lawrence County, New York",36089,67.7 ,57.3, 78.1
"Wadena County, Minnesota",27159,67.7 ,54.7, 79.9
"Warren County, New York",36113,67.7 ,57.1, 78.2
"Bristol County, Massachusetts",25005,67.6 ,64.4, 70.7
"Dodge County, Wisconsin",55027,67.6 ,55.4, 79.4
"Houghton County, Michigan",26061,67.6 ,53.9, 80.5
"Juniata County, Pennsylvania",42067,67.6 ,54.2, 80.3
"Macon County, Missouri",29121,67.6 ,54.4, 79.9
"Marshall County, Tennessee",47117,67.6 ,54.4, 80.1
"Montgomery County, Ohio",39113,67.6 ,58.0, 76.8
"Santa Cruz County, California",06087,67.6 ,55.1, 79.3
"Sumter County, South Carolina",45085,67.6 ,57.0, 77.9
"Williamson County, Illinois",17199,67.6 ,54.1, 80.3
"York County, Virginia",51199,67.6 ,56.6, 78.2
"Albemarle County, Virginia",51003,67.5 ,55.7, 78.7
"Buchanan County, Iowa",19019,67.5 ,55.0, 79.3
"Burke County, Georgia",13033,67.5 ,54.6, 79.7
"Champaign County, Ohio",39021,67.5 ,54.0, 80.2
"Chatham County, Georgia",13051,67.5 ,58.2, 76.7
"Chickasaw County, Iowa",19037,67.5 ,54.7, 79.6
"Deuel County, South Dakota",46039,67.5 ,53.8, 80.4
"Ellsworth County, Kansas",20053,67.5 ,53.7, 80.4
"Humboldt County, Iowa",19091,67.5 ,54.3, 79.9
"Iowa County, Iowa",19095,67.5 ,55.1, 79.2
"Isabella County, Michigan",26073,67.5 ,56.9, 77.5
"Jackson County, North Carolina",37099,67.5 ,55.2, 79.3
"Las Animas County, Colorado",08071,67.5 ,53.9, 80.2
"Lyman County, South Dakota",46085,67.5 ,52.0, 81.5
"Monroe County, Georgia",13207,67.5 ,53.9, 80.2
"Norfolk City, Virginia",51710,67.5 ,56.7, 78.2
"Wayne County, Indiana",18177,67.5 ,54.9, 79.3
"Caroline County, Virginia",51033,67.4 ,53.9, 79.9
